title,description,country,type,nodays,price,imgname
Japan Korea,NA,South Korea,GROUP TOUR,9,"?295,000.00",https://img.veenaworld.com/group-tours/world/japan-china-korea-taiwan/asjk/asjk-thb-asjk-1682023.png
Best of Greece,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Greece,GROUP TOUR,10,"?315,000.00",https://img.veenaworld.com/group-tours/world/europe/eulg/eulg-thb-eulg-1662023.jpg
USA East Coast,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,7,"?325,000.00",https://img.veenaworld.com/group-tours/world/america/amep/amep-thb.jpg
Myanmar Laos Vietnam Cambodia,Shwedagon Pagoda Mount Popa Mandalay Palace Pha That Luang Stupa Patuxay Buddha Park Kuang Si Falls Angkor Wat Ba Na Hills Hoi An Coconut Village Ninh Binh Halong Bay Cruise Hanoi,Myanmar,GROUP TOUR,18,"?325,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aslv/aslv-thb-ASLV-4102024.jpg
Women's Special USA East Coast,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,7,"?325,000.00",https://img.veenaworld.com/group-tours/world/america/amwp/amec-hlt-1-amwp-412024.jpg
Swiss Paris Italy,Trevi Fountain Photo Stop at the backdrop of Colosseum St. Peter's Basilica Gondola ride in the canals of Venice Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch Bern city tour Chaplin’s world Versailles palace Eiffel Tower Disneyland,Italy,GROUP TOUR,11,"?325,000.00",https://img.veenaworld.com/group-tours/world/europe/eust/eust-thb.jpg
England Scotland,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UK,GROUP TOUR,10,"?330,000.00",https://img.veenaworld.com/group-tours/world/europe/eulo/thb-EULO-422022.jpg
Swiss Austria Italy,Trevi Fountain Photo Stop at the backdrop of Colosseum St. Peter's Basilica Pisa city tour Gondola ride in the canals of Venice Geneva city tour Chaplin’s world Maison Cailler chocolate factory Bern city tour Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch Rhine Falls Swarovski crystal world and Museum Mirabell Gardens Schonbrunn Palace,Italy,GROUP TOUR,11,"?330,000.00",https://img.veenaworld.com/group-tours/world/europe/eusa/eusa-thb.jpg
Spain Portugal,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Portugal,GROUP TOUR,13,"?330,000.00",https://img.veenaworld.com/group-tours/world/europe/eung/eung-thb-eung-1982023.jpg
European Highlights,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Western Europe,GROUP TOUR,11,"?330,000.00",https://img.veenaworld.com/group-tours/world/europe/euhl/euhl-thb-euhl-1862022.jpg
Seniors' Special USA East Coast,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,7,"?330,000.00",https://img.veenaworld.com/group-tours/world/america/amzp/amzp-thb.jpg
Women's Special Australia,Sydney Cricket Ground Guided tour of Sydney Opera House Sydney Harbour Cruise Sydney Tower Observatory Deck Sydney Sea Life Aquarium WILD LIFE Sydney Zoo Brisbane city orientation tour Jet Boat ride at Gold Coast Currumbin Wildlife Sanctuary Sunset cruise at Gold Coast Kuranda Rainforest Pamagirri Aboriginal Experience The Great Barrier Reef The Great Ocean Road Helicopter ride at Great Ocean Road Penguin Parade at Philip Island,Australia,GROUP TOUR,9,"?335,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/auwg/auwg-thb.jpg
Swiss Paris Amsterdam Brussels,Versailles palace Eiffel Tower Seine river cruise Disneyland Brussels city tour Madurodam De Halve Maan Brewery Cuckoo clock shop Rhine Falls Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch Walking tour of Bern city Maison Cailler chocolate factory Chaplin’s world,Western Europe,GROUP TOUR,11,"?335,000.00",https://img.veenaworld.com/group-tours/world/europe/eubs/euar-thb-EUBS-862022.jpg
Seniors' Special Europe,A lovely view of London city from the London Eye The Spectacular Monument of Eiffel Tower Seine river cruise Amsterdam canal cruise Holland’s famous ‘Windmill’ Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise City Tram ride at Vaduz Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Trevi Fountain Leaning tower of Pisa,Western Europe,GROUP TOUR,11,"?335,000.00",https://img.veenaworld.com/group-tours/world/europe/euzh/euhn-thb-EUZH-772023.jpg
Best of Australia,Sydney Cricket Ground Guided tour of Sydney Opera House Sydney Harbour Cruise Sydney Tower Observatory Deck Sydney Sea Life Aquarium WILD LIFE Sydney Zoo Brisbane city orientation tour Jet Boat ride at Gold Coast Currumbin Wildlife Sanctuary Sunset cruise at Gold Coast Kuranda Rainforest Pamagirri Aboriginal Experience The Great Barrier Reef The Great Ocean Road Helicopter ride at Great Ocean Road Penguin Parade at Philip Island,Australia,GROUP TOUR,9,"?335,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/ausg/ausg-thb.jpg
Women's Special Europe,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Western Europe,GROUP TOUR,11,"?335,000.00",https://img.veenaworld.com/group-tours/world/europe/euwh/euwh-hlt-2-euwh-12102022.jpg
Spain Portugal Morocco,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Morocco,GROUP TOUR,16,"?340,000.00",https://img.veenaworld.com/group-tours/world/europe/eump/eump-thb-eump-1562023.jpg
Senior's Special Australia,Sydney Cricket Ground Guided tour of Sydney Opera House Sydney Harbour Cruise Sydney Tower Observatory Deck Sydney Sea Life Aquarium WILD LIFE Sydney Zoo Brisbane city orientation tour Jet Boat ride at Gold Coast Currumbin Wildlife Sanctuary Sunset cruise at Gold Coast Kuranda Rainforest Pamagirri Aboriginal Experience The Great Barrier Reef The Great Ocean Road Helicopter ride at Great Ocean Road Penguin Parade at Philip Island,Australia,GROUP TOUR,9,"?340,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/auzg/ausg-exp-3--1--auzg-342024.jpg
European Wonders,The Spectacular Monument of Eiffel Tower Seine river cruise Holland’s famous ‘Windmill’ Explore Luxembourg City By A Tram Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise Jungfraujoch – Top of Europe City Tram ride at Vaduz Mirabell Gardens Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Trevi Fountain Leaning tower of Pisa,Western Europe,GROUP TOUR,13,"?340,000.00",https://img.veenaworld.com/group-tours/world/europe/eunr/eunr-thb-eunr-1662023.jpg
Croatia Slovenia Slovakia Hungary,Danube river cruise Danube Bend excursion Badacsony wine region Bled Castle Baroque Church of the Assumption Postojna Caves Plitvice National Park,Central Europe,GROUP TOUR,12,"?345,000.00",https://img.veenaworld.com/group-tours/world/europe/eusc/eusc-thb.jpg
Swiss Paris Austria,Schonbrunn Palace Mirabell Gardens Swarovski crystal world and Museum Rhine Falls Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch Bern city tour Maison Cailler chocolate factory Chaplin’s world Versailles palace Eiffel Tower Seine river cruise Disneyland,Austria,GROUP TOUR,11,"?350,000.00",https://img.veenaworld.com/group-tours/world/europe/eusp/eusp-thb.jpg
Best of New Zealand,NA,New Zealand,GROUP TOUR,10,"?355,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/aunj/thb.jpg
European Delight,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Western Europe,GROUP TOUR,13,"?355,000.00",https://img.veenaworld.com/group-tours/world/europe/euwn/euwn-thb.jpg
All of Switzerland,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Switzerland,GROUP TOUR,10,"?365,000.00",https://img.veenaworld.com/group-tours/world/europe/euld/thb-EULD-422022.jpg
All of Japan,Nara Deer Park Arashiyama Bamboo Grooves Golden Pavilion (Kinkaku – Ji) Fushimi Inari Shrine Tottori Sand Museum Himeji Castle Sapporo Furano Shirogane Oatru Miyajima Shrine Mount Fuji Tokyo Sky Tree Asakusa Temple Complex Team Lab Planets Hakone Kowakien Yunessun,Japan,GROUP TOUR,13,"?365,000.00",https://img.veenaworld.com/group-tours/world/japan-china-korea-taiwan/asaj/asaj-thb-ASAJ-2752023.png
Swiss Paris London,London Eye Madame Tussauds Wax Museum Windsor Castle University of Oxford Versailles palace Eiffel Tower Disneyland Chaplin’s world Maison Cailler Chocolate factory Bern City tour Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch,UK,GROUP TOUR,11,"?365,000.00",https://img.veenaworld.com/group-tours/world/europe/eusl/eusl-thb.jpg
Seniors' Special Europe,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Western Europe,GROUP TOUR,13,"?370,000.00",https://img.veenaworld.com/group-tours/world/europe/euze/euze-thb-euze-1672022.jpg
Scandinavia Northern Lights,Guided tour to experience the Northern lights Tromso University Museum Reindeer sledging ride Narvik Cable car station Jukkasjärvi church Santa Claus Village Ranua Zoo Helsinki city tour,Scandinavia,GROUP TOUR,9,"?370,000.00",https://img.veenaworld.com/group-tours/world/europe/eunl/eunl-thb-eunl-862022.jpg
European Jewels with Versailles,A lovely view of London city from the London Eye The Spectacular Monument of Eiffel Tower Seine river cruise Versailles palace Holland’s famous ‘Windmill’ Explore Luxembourg City By A Tram Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise Jungfraujoch – Top of Europe City Tram ride at Vaduz Mirabell Gardens Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Trevi Fountain St. Peter's Basilica Leaning tower of Pisa Square of Miracles,France,GROUP TOUR,15,"?375,000.00",https://img.veenaworld.com/group-tours/world/europe/eujw/eujw-thb.jpg
All of Spain,Cable car ride to Montjuic hill Monastery of Montserrat Sagrada Familia Cathedral Plaça de la Rotonda The Comb of the Wind Guggenheim Museum Salmanca University Medieval Walls of Ávila Prado Museum The Royal Palace Catedral de Sevilla The Alcazar of Seville Marbella Enjoy burro-taxi ride Oceanogràfic València,Spain,GROUP TOUR,15,"?380,000.00",https://img.veenaworld.com/group-tours/world/europe/euos/euos-thb-EUOS-132024.jpg
Women's Special Scandinavia,Tivoli Gardens Christiansburg palace Kon Tiki Museum Norway in a nutshell tour Sogne Fjord - King of the Fjords Funicular Tram ride to Mt. Floyen Sky View Globe Arenas Vasa Ship museum Ice Bar Alexander Nevsky Cathedral Helsinki City Tour,Scandinavia,GROUP TOUR,10,"?390,000.00",https://img.veenaworld.com/group-tours/world/europe/euwd/euwd-thb-euwd-4112022.jpg
Greece Turkey,Explore the fabulous Greek islands on a full day cruise Red Beach Lost Atlantis Experience Museum Black Beach Megalochori village and Oia Village Acropolis Museum Whirling dervish show Cotton Castle - Pamukkale Boat ride on the Porsuk River Turkish dinner with show Topkapi Palace Sultan Ahmet Tsami - Blue Mosque,Turkey,GROUP TOUR,12,"?395,000.00",https://img.veenaworld.com/group-tours/world/europe/eugt/eugt-thb.jpg
Women's Special Europe with Versailles,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,France,GROUP TOUR,15,"?400,000.00",https://img.veenaworld.com/group-tours/world/europe/euwa/euwa-thb.jpg
European Jewels with Disneyland,A lovely view of London city from the London Eye The Spectacular Monument of Eiffel Tower Seine river cruise Disneyland Amsterdam canal cruise Holland’s famous ‘Windmill’ Explore Luxembourg City By A Tram Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise Jungfraujoch – Top of Europe City Tram ride at Vaduz Mirabell Gardens Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Trevi Fountain St. Peter's Basilica Leaning tower of Pisa Square of Miracles,Western Europe,GROUP TOUR,15,"?405,000.00",https://img.veenaworld.com/group-tours/world/europe/eujwd/eujwd-thb.jpg
Scandinavia Northern Lights with Icebreaker Cruise,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Scandinavia,GROUP TOUR,10,"?410,000.00",https://img.veenaworld.com/group-tours/world/europe/eunlc/thb-cruise-EUNLC-572024.jpg
England Scotland Ireland Wales London,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UK,GROUP TOUR,15,"?425,000.00",https://img.veenaworld.com/group-tours/world/europe/eueo/euen-thb-euen-1562023-eueo-16102024.jpg
All of Eastern Europe,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Eastern Europe,GROUP TOUR,17,"?425,000.00",https://img.veenaworld.com/group-tours/world/europe/euae/euce-thb-EUAE-16102024.jpg
Tunisia Malta Sicily,Bardo National Museum Explore Medina Carthage Sidi Bou Saïd Explore Hammamet Norman Palace Palantine Chapel Church of San Nicolò Cathedral of Forza d'Agrò Mt. Etna Gambino Winery Archaeological Park of Neapolis Cathedral of St. Paul San Anton Botanical Gardens Ancient cities of Senglea Vittoriosa and Cospicua Fishing village of Marsaxlokk Blue Grotto,Tunisia,GROUP TOUR,10,"?430,000.00",https://img.veenaworld.com/group-tours/world/europe/eusm/shtu-thb-eusm-1142024.jpg
Women's Special England Scotland Ireland Wales London,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UK,GROUP TOUR,15,"?430,000.00",https://img.veenaworld.com/group-tours/world/europe/eueo/thb-EUEO-422022.jpg
Seniors' Special England Scotland Ireland Wales London,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UK,GROUP TOUR,15,"?430,000.00",https://img.veenaworld.com/group-tours/world/europe/eueo/thb-EUEO-422022.jpg
European Marvels,A lovely view of London city from the London Eye Eurostar journey to Paris The Spectacular Monument of Eiffel Tower Seine river cruise Versailles palace Holland’s famous ‘Windmill’ De Halve Maan Brewery Explore Luxembourg City By A Tram Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise Jungfraujoch – Top of Europe City Tram ride at Vaduz Hofbräuhaus Salzburg Cathedral Mirabell Gardens Swarovski crystal world and Museum Vaporetto water bus ride to Venice Island San Marino city tour Blue Grotto or White Grotto Trevi Fountain St. Peter's Basilica Square of Miracles Leaning tower of Pisa,Western Europe,GROUP TOUR,17,"?450,000.00",https://img.veenaworld.com/group-tours/world/europe/eumv/eumv-thb.jpg
All of New Zealand,Rotorua Thermal Reserve Sheep Shearing Show Huka Falls Wellington Cable Car Whale Watching - kaikoura Fox Glacier/Franz Josef Glacier Helicopter ride Milford Sound Queenstown Dunedin International Antarctic Centre,New Zealand,GROUP TOUR,14,"?450,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/aund/aund-tbh.jpg
Iceland Northern Lights,Golden Circle Tour Thingvellir National Park Gullfoss Waterfall Whale watching cruise Fridheimar Tomato Farm Diamond Circle tour Godadoss waterfall Dimmuborgir lava formations Deildartunguhver Hot spring Langjokull Glacier Snaefellsnes Peninsula Vatnshellir Cave Seljalandsfoss and Skogafoss waterfall Reynisfjara - BLACK SAND BEACH Solheimasandur – Plane wreck location Skaftafell National park Jokulsarlon Glacier Lagoon Vatnajökull glacier Diamond Beach Blue Lagoon,Iceland,GROUP TOUR,10,"?450,000.00",https://img.veenaworld.com/group-tours/world/europe/euin/euin-thb-euin-2582021.jpg
All of Australia,Freemantle Rottnest Island Bradman Collection at Adelaide Kangaroo Island The Great Ocean Road Helicopter ride at Great Ocean Road Melbourne Cricket Ground Penguin Parade at Philip Island Kuranda Rainforest Pamagirri Aboriginal Experience The Great Barrier Reef Brisbane city orientation tour Jet Boat ride at Gold Coast Currumbin Wildlife Sanctuary Sunset cruise at Gold Coast Guided tour of New Parliament House at Canberra Guided tour of Sydney Opera House Sydney Harbour Cruise Sydney Tower Observatory Deck Sydney Sea Life Aquarium WILD LIFE Sydney Zoo,Australia,GROUP TOUR,14,"?455,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/auaa/auaa-thb-auaa-19112022.png
Egypt Greece Turkey,The Catacombs The National Museum of Egyptian Civilization Cairo tower observatory deck The Great Pyramids of Giza Nile dinner cruise Greek islands tour Red Beach and Black Beach Megalochori village and Oia village Acropolis site and Museum Whirling dervish show Goreme open air museum Cotton Castle - Pamukkale Topkapi Palace Blue Mosque Hagia Sofia Museum,Greece,GROUP TOUR,15,"?480,000.00",https://img.veenaworld.com/group-tours/world/europe/euet/euet-thb.jpg
Iceland Scandinavia Northern Lights,Tromso University Museum Reindeer sledging ride Northern Lights Cathedral Guided tour to witness Northern Lights Sami Parliament of Norway Santa Claus Village Golden Circle Tour Gullfoss Waterfall BLACK SAND BEACH Solheimasandur – Plane wreck location Skaftafell National Park Diamond Beach Blue Lagoon Hallgrimskirkja Church,Iceland,GROUP TOUR,14,"?495,000.00",https://img.veenaworld.com/group-tours/world/europe/euni/eunl-thb-EUNI-1112022.jpg
European Magic (Europe with Scotland),Edinburgh castle Drive through Yorkshire Dales National Park Enjoy cruise ride on Lake Windermere Harry Potter movie fame The Shambles Stonehenge Explore the city of Bath The University of Oxford Windsor Castle A lovely view of London city from the London Eye The Spectacular Monument of Eiffel Tower Seine river cruise Versailles palace Amsterdam canal cruise Holland’s famous ‘Windmill’ Explore Luxembourg City By A Tram Cuckoo clock factory Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise Jungfraujoch – Top of Europe City Tram ride at Vaduz Hofbräuhaus Salzburg Cathedral Mirabell Gardens Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Trevi Fountain St. Peter's Basilica Square of Miracles Leaning tower of Pisa,UK,GROUP TOUR,19,"?505,000.00",https://img.veenaworld.com/group-tours/world/europe/eumg/eumg-thb.jpg
Iceland Scandinavia Northern Lights with Icebreaker Cruise,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Iceland,GROUP TOUR,15,"?545,000.00",https://img.veenaworld.com/group-tours/world/europe/eunic/euin-thb-EUNIC-2272024.jpg
Australia New Zealand,NA,Australia,GROUP TOUR,17,"?560,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/aunz/aunz-tbh.jpg
New Zealand Explorer,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,New Zealand,GROUP TOUR,20,"?575,000.00",https://img.veenaworld.com/group-tours/world/australia-new-zealand/aunp/aunp-thb-AUNP-392024.jpg
European Dream (Europe + Spain + Nice),London Eye Tower of London Museum Madame Tussauds Wax Museum Top level of Eiffel Tower Seine River Cruise Versailles palace Madurodam Mercedes-Benz Museum Cuckoo clock shop Boat ride in Rhine Falls Mt Titlis Lake Lucerne Cruise Jungfraujoch Grindelwald Eiger Express City Tram ride in Vaduz Swarovski crystal world and Museum Vaporetto water bus ride to Venice Island Gondola ride in the canals of Venice Capri Island Trevi Fountain St. Peter's Basilica Perfume factory at Eze Marseille Cathedral Sagrada Familia Cathedral Cable car ride to Montjuic hill Flamenco show with dinner Monastery of Montserrat Colourful La Ramblas,Western Europe,GROUP TOUR,23,"?575,000.00",https://img.veenaworld.com/group-tours/world/europe/eudm/eudm-thb.jpg
Seniors’ Special America,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,13,"?575,000.00",https://img.veenaworld.com/group-tours/world/america/amza/amza-thb.jpg
American Magic,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,13,"?575,000.00",https://img.veenaworld.com/group-tours/world/america/ammg/ammg-thb.jpg
Women's Special America,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,13,"?580,000.00",https://img.veenaworld.com/group-tours/world/america/amwa/amwa-thb.jpg
American Wonders (USA East & West Coast with Orlando),Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,15,"?650,000.00",https://img.veenaworld.com/group-tours/world/america/amwn/amwn-thb.jpg
American Splendors,Niagara Falls Hershey’s Chocolate World Washington D.C Corning Museum of Glass Statue of Liberty Observatory deck of One World Trade Center The Bean - Chicago Chicago Architecture Boat Tour Griffin Museum of Science and Industry Universal Studios The High roller - Las Vegas Grand Canyon The Sphere Death Valley National Park Yosemite National Park Golden Gate Bay Cruise,USA,GROUP TOUR,17,"?650,000.00",https://img.veenaworld.com/group-tours/world/america/amsp/amec-thb-AMSP-16102024.jpg
European Explorer,Edinburgh castle Drive through Yorkshire Dales National Park Enjoy cruise ride on Lake Windermere Stonehenge Explore the city of Bath The University of Oxford Windsor Castle A lovely view of London city from the London Eye The Spectacular Monument of Eiffel Tower Seine river cruise Versailles palace Amsterdam canal cruise Holland’s famous ‘Windmill’ De Halve Maan Brewery Explore Luxembourg City By A Tram Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise Jungfraujoch – Top of Europe City Tram ride at Vaduz Hofbräuhaus Salzburg Cathedral Mirabell Gardens Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Blue Grotto or White Grotto Trevi Fountain St. Peter's Basilica Square of Miracles Leaning tower of Pisa Cinque Terre Monte Carlo Photo stop at Cannes Film festival theatre Sagrada Familia Cathedral Flamenco show with dinner Plaza de Espana,Western Europe,GROUP TOUR,27,"?655,000.00",https://img.veenaworld.com/group-tours/world/europe/euxr/euxr-thb-EUXR-2162023.jpg
American Dream with Bahamas Cruise,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,USA,GROUP TOUR,19,"?775,000.00",https://img.veenaworld.com/group-tours/world/america/amdm/amdm-thb.jpg
Kuala Lumpur with Genting Highlands,NA,Malaysia,CUSTOMIZED HOLIDAYS,4,"?24,273.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shmy6/shmy6-thb-1.jpg
Bali Family Fun,NA,Indonesia,CUSTOMIZED HOLIDAYS,5,"?24,658.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shib1/shib1-thb.jpg
Phuket Getaway,NA,Thailand,CUSTOMIZED HOLIDAYS,5,"?24,672.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shth25/shth25-thb.jpg
Iconic Thailand,NA,Thailand,CUSTOMIZED HOLIDAYS,5,"?25,523.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shth1/shth1-thb.jpg
Romantic Bali,NA,Indonesia,CUSTOMIZED HOLIDAYS,5,"?29,884.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shib3/shib3-thb.jpg
London (2N) Post Tour Holiday- Relax and Explore,NA,UK,CUSTOMIZED HOLIDAYS,3,"?30,453.00",https://img.veenaworld.com/customized-holidays/world/post-tour-holidays/phuk1/phuk1-thb.jpg
Malaysian Escape,NA,Malaysia,CUSTOMIZED HOLIDAYS,4,"?31,580.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shmy1/shmy1-thb-shmy1-1652022.jpg
Kathmandu Pokhara,NA,Nepal,CUSTOMIZED HOLIDAYS,6,"?33,000.00",https://img.veenaworld.com/customized-holidays/world/nepal/shnp2/shnp2-thb-shnp2-1032022.jpg
Langkawi Escape,NA,Malaysia,CUSTOMIZED HOLIDAYS,4,"?34,608.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shmy4/shmy4-thb-shmy4-1952022.jpg
Mauritius with Tarisa Resort & Spa (4 Nights),NA,Mauritius,CUSTOMIZED HOLIDAYS,5,"?37,277.00",https://img.veenaworld.com/customized-holidays/world/mauritius/shmu23/thb-SHMU23-1242022.jpg
Bangkok Pattaya Family Fun,NA,Thailand,CUSTOMIZED HOLIDAYS,6,"?38,501.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shth13/shth17-thb-shth13-1052022.jpg
Sydney City Break,NA,Australia,CUSTOMIZED HOLIDAYS,4,"?38,722.00",https://img.veenaworld.com/customized-holidays/world/australia/shau3/shau3-thb.jpg
Bali with Pool Villa Stay,NA,Indonesia,CUSTOMIZED HOLIDAYS,6,"?39,877.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shib16/Thb.jpg
Hanoi Halong,NA,Vietnam,CUSTOMIZED HOLIDAYS,5,"?40,664.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shvn2/shvn2-thb.jpg
Best of Phuket and Krabi,NA,Thailand,CUSTOMIZED HOLIDAYS,7,"?41,126.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shth3/shth3-thb.jpg
London (2N) Post Tour Holiday- Warwick or Stonehenge,NA,UK,CUSTOMIZED HOLIDAYS,3,"?43,102.00",https://img.veenaworld.com/customized-holidays/world/post-tour-holidays/phuk2/phuk2-thb.jpg
Muscat Getaway,NA,Oman,CUSTOMIZED HOLIDAYS,4,"?43,260.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shom3/shom3-thb.jpg
Romantic Bali with Ubud Stay,NA,Indonesia,CUSTOMIZED HOLIDAYS,6,"?43,400.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shib2/shib2-thb.jpg
Sri Lanka Escape,NA,Sri Lanka,CUSTOMIZED HOLIDAYS,5,"?44,584.00",https://img.veenaworld.com/customized-holidays/world/sri-lanka/shsl1/shsl1-thb.jpg
Phuket Krabi Getaway,NA,Thailand,CUSTOMIZED HOLIDAYS,6,"?45,570.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shth16/shth16-thb-shth16-1152022.jpg
Singapore Escape,NA,Singapore,CUSTOMIZED HOLIDAYS,4,"?46,817.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shsg9/shsg9-thb.jpg
Bhutan Getaway,NA,Bhutan,CUSTOMIZED HOLIDAYS,6,"?47,000.00",https://img.veenaworld.com/customized-holidays/world/bhutan/shbt3/shbt3-thb.jpg
Nepal Chitwan Pokhara,NA,Nepal,CUSTOMIZED HOLIDAYS,8,"?48,000.00",https://img.veenaworld.com/customized-holidays/world/nepal/shnp1/shnp1-thb.jpg
Mauritius with Anelia Resort & Spa (4 Nights),NA,Mauritius,CUSTOMIZED HOLIDAYS,5,"?50,280.00",https://img.veenaworld.com/customized-holidays/world/mauritius/shmu24/thb-shmu24-1242022.jpg
Mauritius with Tarisa Resort & Spa,NA,Mauritius,CUSTOMIZED HOLIDAYS,7,"?51,147.00",https://img.veenaworld.com/customized-holidays/world/mauritius/shmu2/thb-SHMU25-1442022.jpg
Dubai Escape,NA,UAE,CUSTOMIZED HOLIDAYS,5,"?51,948.00",https://img.veenaworld.com/customized-holidays/world/dubai-egypt-israel/shdz1/shdz1-thb.jpg
Best of Bhutan,NA,Bhutan,CUSTOMIZED HOLIDAYS,7,"?52,000.00",https://img.veenaworld.com/customized-holidays/world/bhutan/shbt2/shbt2-thb.jpg
Classic Sri Lanka,NA,Sri Lanka,CUSTOMIZED HOLIDAYS,8,"?52,777.00",https://img.veenaworld.com/customized-holidays/world/sri-lanka/shsl2/shsl2-thb.jpg
Glimpse of Cambodia,NA,Cambodia,CUSTOMIZED HOLIDAYS,5,"?52,777.00",https://img.veenaworld.com/customized-holidays/world/south-east-asia/shcm3/thb-SHCM3-2682022.jpg
Innsbruck and surrounds,NA,Austria,CUSTOMIZED HOLIDAYS,4,"?54,346.00",https://img.veenaworld.com/customized-holidays/world/europe/shat7/THB.jpg
Taipei and surrounds,NA,Taiwan,CUSTOMIZED HOLIDAYS,5,"?56,238.00",https://img.veenaworld.com/customized-holidays/world/japan-china-korea-taiwan/shtw1/shtw1-thb-shtw1-2492024.jpg
Cairns City Break,NA,Australia,CUSTOMIZED HOLIDAYS,4,"?59,550.00",https://img.veenaworld.com/customized-holidays/world/australia/shau6/shau6-thb.jpg
